channel_title	likes
CaseyNeistat	57527.00
LastWeekTonight	97185.00
Rudy Mancuso	146033.00
Good Mythical Morning	10172.00
nigahiga	132235.00
iJustine	9763.00
Saturday Night Live	15993.00
CrazyRussianHacker	23663.00
20th Century Fox	3543.00
Vox	12654.00
NFL	655.00
amc	1576.00
marshmello	114188.00
NowThis World	7848.00
The king of DIY	7473.00
BostonDynamics	9419.00
Cracked	8011.00
TED-Ed	5398.00
PeterSripol	11963.00
SciShow	8421.00
Life Noggin	9586.00
Tested	3585.00
Tom Scott	11758.00
Refinery29	1707.00
Gus Johnson	4884.00
HellthyJunkFood	8676.00
Numberphile	4687.00
JerryRigEverything	9033.00
Cleveland Cavaliers on cleveland.com	156.00
FaeryInLoveInc	715.00
hp_overload	4035.00
Amazon.co.uk	119.00
EminemVEVO	787419.00
officer401	3781.00
Emirates	1661.00
Nobrand	2486.00
Screen Junkies	7515.00
Hunter Hayes	1318.00
Niki and Gabi	38397.00
Nickelback	6927.00
U2VEVO	5389.00
BBC News	308.00
Ben Rohrbach	7.00
MatthewSantoro	15186.00
Shawn Johnson East	4451.00
dope2111	33505.00
People are Awesome	3417.00
NBA Highlights · YouTube	2017.00
D3sports.com	35.00
