channel_title	likes
CaseyNeistat	57527
LastWeekTonight	97185
Good Mythical Morning	10172
nigahiga	132235
iJustine	9763
Saturday Night Live	15993
CrazyRussianHacker	23663
20th Century Fox	3543
Vox	12654
NFL	655
amc	1576
marshmello	114188
NowThis World	7848
The king of DIY	7473
BostonDynamics	9419
Cracked	8011
TED-Ed	5398
PeterSripol	11963
SciShow	8421
Life Noggin	9586
Tested	3585
Tom Scott	11758
Gus Johnson	4884
HellthyJunkFood	8676
Numberphile	4687
JerryRigEverything	9033
Cleveland Cavaliers on cleveland.com	156
FaeryInLoveInc	715
Amazon.co.uk	119
EminemVEVO	787419
officer401	3781
Emirates	1661
Nobrand	2486
Screen Junkies	7515
Hunter Hayes	1318
Niki and Gabi	38397
Nickelback	6927
U2VEVO	5389
BBC News	308
Ben Rohrbach	7
MatthewSantoro	15186
dope2111	33505
People are Awesome	3417
NBA Highlights · YouTube	2017
D3sports.com	35
Simply Nailogical	99086
CBS Sunday Morning	205
Grace Helbig	7250
The Graham Norton Show	16116
Kevin Durant	5734
JimBrowski 96HourNews	21
ViralHog	89
Jeremy Jahns	8209
Jonathan Morrison	10237
YouTube Spotlight	26917
GEazyMusicVEVO	115795
U.S. Navy	493
IGN	8231
Safiya Nygaard	115426
Lele Pons	120876
INSIDER	203
John Lewis	55681
Ed Sheeran	1634124
Sara Dietschy	2233
MeganBatoon	2978
fosterthepeopleVEVO	18603
Watch What Happens Live with Andy Cohen	2429
Mayo Clinic	1896
Jason Derulo	37669
The Late Late Show with James Corden	15504
cocheusadoooo	355
Amber Scholl	23296
John Maclean	8133
Bon Appétit	2323
ABC News	67
mayratouchofglam	3571
BuzzFeed Celeb	6271
CMAVEVO	439
Alan Walker	34839
SUPERFRUIT	82320
Saint Louis Chess Club	438
ABC Television Network	72593
Animal Adventure Park	2282
HowToBasic	98804
CinemaSins	58967
kimbramusic	8599
Capital FM	40195
Hope For Paws - Official Rescue Channel	16396
IISuperwomanII	202676
Hopeless Records	14338
Rachel and Jun	43875
BBC Music	22326
Late Night with Seth Meyers	1731
