video_id,dislikes
2kyS6SvSYSE,2966
1ZAPwfrtAFY,6146
puqaWrEC7tY,666
d380meD0W0M,1989
gHZ1Qz0KiKM,511
39idVpFF7NQ,2445
nc99ccSXST0,778
jr9QtXwC9vc,119
TUmyygCMMGA,1363
9wRQljFNDW8,25
VifQlJit6A0,303
5E4ZBSInqUU,1333
GgVmn66oK_A,1171
TaTleo4cOs8,246
kgaO45SyaO4,52
ZAQs-ctOqXQ,638
YVfyYrEmzgM,53
eNSN6qet1kE,36
B5HORANmzHw,191
vU14JY3x81A,75
6VhU_T463sU,138
_-aDHxoblr4,89
lZ68j2J_GOM,52
dRpNZV18N_g,193
fcVjitaM3LY,41
qeWvgZLz9yU,224
iIxy3JN3-jc,36
n30k5CwLhS4,238
CBVGjS_EJok,69
n1WpP7iowLc,43420
hz7ukDjuq4w,84
p2hJxyF7mok,70
0mlNzVSJrT0,184
Om_zGhJLZ5U,792
e_7zHm7GsYc,24
dQvIbulWCM4,1387
zZ9FciUx6gs,161
PaJCFHXcWmM,106
goP4Z5wyOlM,26
NZFhMSgbKKM,5
0tO_l_Ed5Rs,15448
BWPrk9PUwQE,1660
ogYum4kWXgk,33
sbcbvuitiTc,2425
zNqCVTs38nU,18
0PpNlNJ6Nng,1339
c-3JxzN2u34,6
KODzih-pYlU,217
8NHA23f7LvU,236
w0XYVssCKjw,106
9XSULcLI6Hg,8
pjuPpVLXDQg,8
9xSx-5tmq44,344
4v0nOAzcG2A,377
1cgK-BIrXes,1979
ujyTQNNjjDU,3055
PABlVzeldaM,54
6340tX9M_eM,413
8mhTWqWlQzU,1110
t4YAyT4ihIQ,8279
MNiweoKXwfg,6
Jw1Y-zhQURU,10247
2Vv-BfVoq4g,21082
UFYCTJlayS4,187
cccyOn99s4Y,147
lY_0mkYDZDU,585
k8NxqyGcZA4,5381
IE-xepGLVt8,74
ObIQ0s02UHg,1732
cOc3tsFWoRs,353
AJYb0Yom5UQ,47
gLswXiRLdkA,1184
MyEqfBkzESU,2693
wJYE0sFOteE,40
L_5_slz4ke4,19
OKoL852K9uA,278
pa_oUisZZy0,88
_Iz83-Cmt6A,66
YlvCVbfS9M0,537
arJ5h2TY3I4,1279
-2RVw2_QyxQ,23
gEHCXl4J9Qo,1830
#NAME?,35
b4vTZx_AtHk,11682
kOnQocd799Y,3492
e4FApt6z55c,361
2XK4omx9uMU,373
xfmipNU4Odc,81
jp9hK-jY6yY,3394
RkHuWjiR-LM,171
fCTKDn3Q8xQ,1326
DIU3xPdhCBI,833
wnwF1FHybDQ,193
9oFP-pOMNwE,853
pz95u3UVpaM,4083
g5c1bk8weaQ,2573
x9mh-SwSKas,153
uiA4B5Y63IQ,142
viyRD5z6ilQ,139
QFfEtKvXMAs,168
xg9ebVTL9yE,84
fbHbTBP_u7U,1002
Ja_GMU7-sjs,1524
QOksZ8VogRw,499
RYs08kX3Ih4,398
tOFkFZbPdnQ,181
dW4wpGg64pE,628
2VP846QcA_4,217
EYkEshCOhEU,385
Rq9-mW6HgQE,313
k29YnfttqEU,584
Eg_kW5fw6qU,135
J_QGZspO4gg,1130
PkRBTF6nt4E,507
ozkqm2ifMw8,120
htvR_dBs3eg,106
qEEtzzi1EII,245
1Wk8ZRgXQnY,24
8l_e6bx8UG8,6221
lsfzA7sWlOM,164
RQDphL2MVlM,120
6nJw-jPQYVI,24
5x1FAiIq_pQ,181
LMCuKltaY3M,147
6Detw08jRhs,131
vd4zwINEcLY,52
7fm7mll2qvg,46
5gFpcEKayz4,483
eHIY3HNNqzM,89
q-WipZ9p0wk,83
zy0b9e40tK8,146
rL4WkebTT_U,71
Q6Usd3_fbq8,0
44NYFvhXmW8,2442
9wg3v-01yKQ,16139
F-j_6IuaYfw,950
_qSW96a2aKY,1356
afgvlR9WmIQ,336
_CJN_ryETIY,66
P4YJwy_T9pM,197
r96KpNTcog4,58
B4gXsobd_ao,127
x8eLIJAM58M,951
qg0GdM60syI,0
9ymjcSvEyhk,158
oB3SAI2oCqk,1
HNa_UWX51_s,302
08nkwgZIE4I,442
5Smb3tZD1Qc,284
YHDbsyyjld0,16
uyl6WtHEYOQ,25
bhoFXkVy8JA,79
_w58R1OGQFA,42
BEweWXa5Twk,460
egXr0PU-kCY,1886
d_j512i2k6c,332
4d07RXYLsJE,0
DOIw62TXYkg,200
0lbJHqAGpbA,5
JuP1Z8xpRb8,36
CR9zYgr84QY,55
1640fZpYBSY,72
M2-IpsWQUWs,106
7m630xvAJtA,3
510KQ_LXGww,1775
CO9dIyNM_9Q,174
hX643KbiI4s,93
mwpHSMv1pI4,223
Mfiim71QdYQ,88
UFPSIa1cLRQ,28
o78x918zbFk,2148
iNf6VErGDLI,1473
6ixU_vdE0Es,38
wRGldR_SQAA,0
agKDPntMv-E,430
u7pV4vxD1bs,59
zYWt2mnalP8,691
PoNWU2cox9w,224
6hTzM1BPdU8,53
MCW5HUkrr-o,341
YvfYK0EEhK4,795
cxMvzK2OQTw,1439
bAkEd8r7Nnw,896
ItYOdWRo0JY,17815
5530I_pYjbo,391
dUMH6DVYskc,1273
gjXrm2Q-te4,837
9SK1I0V6U5c,578
VsYmwBOYfW8,1705
kgaO45SyaO4,2495
CtBca6H6Teg,316
pcWKpGzhgq4,106
L3br0klRqF4,262
9kF9xY74h-E,455
p2EY93WfBQk,264
xL_qpDkF5A8,13
eQVhAN7-IAw,65
2kyS6SvSYSE,7150
Y9nDagqKL7Q,281
DbJ2s_g1oDc,1030
KJ12FVmumeA,108
1ZAPwfrtAFY,9892
qDAxDcjgn-8,298
gHZ1Qz0KiKM,2272
815lSYphlbw,74
jr9QtXwC9vc,505
E_86MEdNsAI,33
Cr9oGxr0Qa0,61
g0K5QoEj7FQ,26
l4bAoNAx2uo,1337
TSqwDQHE1J8,61
puqaWrEC7tY,1229
YVfyYrEmzgM,110
MltuW2kcREI,86
5E4ZBSInqUU,3399
jGiqc3HSxEg,209
XrDlDj9DfZs,66
vU14JY3x81A,194
Z3OZyb2iWqQ,64
Hq89wYzOjfs,6
vZzIS17HexE,4
TUmyygCMMGA,2417
lZ68j2J_GOM,220
yZGSIpcAfEo,18
zZ9FciUx6gs,569
zxUwbflE1SY,131
d380meD0W0M,2262
7oRdswHqaf8,24
qC0I5PEhkJo,11
VifQlJit6A0,545
PaJCFHXcWmM,290
