channel_title,views
CaseyNeistat,748374.00
LastWeekTonight,2418783.00
Rudy Mancuso,3191434.00
Good Mythical Morning,343168.00
nigahiga,2095731.00
iJustine,119180.00
Saturday Night Live,2103417.00
CrazyRussianHacker,817732.00
20th Century Fox,826059.00
Vox,256426.00
NFL,81377.00
amc,104578.00
marshmello,687582.00
NowThis World,544770.00
The king of DIY,207532.00
BostonDynamics,75752.00
Cracked,295639.00
TED-Ed,78044.00
PeterSripol,97007.00
SciShow,223871.00
Life Noggin,115791.00
Tested,224019.00
Tom Scott,144418.00
Refinery29,145921.00
Gus Johnson,33980.00
HellthyJunkFood,223077.00
Numberphile,80705.00
JerryRigEverything,120727.00
Cleveland Cavaliers on cleveland.com,27943.00
FaeryInLoveInc,50867.00
hp_overload,98378.00
Amazon.co.uk,26000.00
EminemVEVO,17158531.00
officer401,67661.00
Emirates,141148.00
Nobrand,98966.00
Screen Junkies,288922.00
Hunter Hayes,13917.00
Niki and Gabi,605932.00
Nickelback,57169.00
U2VEVO,60506.00
BBC News,34785.00
Ben Rohrbach,945.00
MatthewSantoro,328330.00
Shawn Johnson East,321053.00
dope2111,1456472.00
People are Awesome,69844.00
NBA Highlights · YouTube,956169.00
D3sports.com,4569.00
FBE,2045386.00
Simply Nailogical,1842393.00
CBS Sunday Morning,6473.00
WWE,1044813.00
JenniferLopezVEVO,9548677.00
Grace Helbig,197062.00
The Graham Norton Show,1496225.00
Kevin Durant,162597.00
JimBrowski 96HourNews,9132.00
ViralHog,7265.00
Jeremy Jahns,291597.00
Jonathan Morrison,290801.00
TIME,5304.00
YouTube Spotlight,812516.00
GEazyMusicVEVO,2642930.00
U.S. Navy,105058.00
IGN,537715.00
Safiya Nygaard,2744430.00
Lele Pons,3358068.00
INSIDER,4732.00
John Lewis,7224515.00
Ed Sheeran,33523622.00
Sara Dietschy,52591.00
MeganBatoon,75822.00
John Campea,43715.00
fosterthepeopleVEVO,303956.00
Watch What Happens Live with Andy Cohen,238643.00
Mayo Clinic,237307.00
Jason Derulo,1282413.00
The Late Late Show with James Corden,1497519.00
cocheusadoooo,148226.00
Amber Scholl,484185.00
John Maclean,300617.00
Bon Appétit,92523.00
ABC News,7524.00
mayratouchofglam,103927.00
BuzzFeed Celeb,177707.00
Zero Media,1751064.00
CMAVEVO,46746.00
Alan Walker,746092.00
SUPERFRUIT,836830.00
Saint Louis Chess Club,67429.00
ABC Television Network,2237404.00
Animal Adventure Park,45455.00
HowToBasic,2063667.00
CinemaSins,2736733.00
kimbramusic,165698.00
Capital FM,836544.00
Hope For Paws - Official Rescue Channel,284666.00
IISuperwomanII,3371669.00
Hopeless Records,195685.00
Rachel and Jun,1098897.00
BBC Music,893462.00
Late Night with Seth Meyers,225286.00
H&M,264793.00
CamilaCabelloVEVO,5476737.00
Liza Koshy,3578502.00
TheEllenShow,304926.00
clothesencounters,247319.00
FoxSearchlight,296434.00
LukeBryanVEVO,125962.00
NiallHoranVEVO,419341.00
empireofthesunvevo,138988.00
NFVEVO,1774018.00
Marques Brownlee,1575525.00
Atlantic Records,626688.00
MsAaliyahJay,219030.00
Danny Sapko,493662.00
Vogue,1017803.00
Michelle Khare,139955.00
Full Frontal with Samantha Bee,362009.00
Nicole Guerriero,294387.00
The Late Show with Stephen Colbert,844653.00
Jimmy Kimmel Live,1315873.00
SuperCarlinBrothers,188003.00
SiaVEVO,1624771.00
Business Insider,125970.00
2CELLOS,205869.00
theneedledrop,98422.00
Simon's Cat,426078.00
Andy Grammer,33315.00
RemyMaVEVO,1231518.00
Nintendo,154872.00
Dina Tokio,72626.00
Team Coco,366180.00
PitbullVEVO,264511.00
Late Show with David Letterman,192609.00
Alicia Keys,95944.00
ElbowVEVO,154494.00
MDNA SKIN,53321.00
poofables,95085.00
SigridVEVO,91776.00
MOMOMOYOUTHVEVO,764716.00
TheScriptVEVO,135337.00
Brothers Green Eats,77630.00
Netflix,378750.00
Abroad in Japan,151709.00
Tucker Gott,175852.00
Nahre Sol,5149.00
